iter	Passed	Remaining
0	7	7463
1	14	7307
2	20	6686
3	26	6579
4	32	6396
5	38	6394
6	45	6399
7	50	6288
8	56	6256
9	65	6449
10	72	6490
11	79	6532
12	85	6482
13	91	6459
14	99	6537
15	107	6610
16	112	6526
17	118	6457
18	123	6384
19	129	6357
20	135	6329
21	143	6397
22	150	6379
23	158	6462
24	165	6470
25	172	6457
26	178	6437
27	183	6380
28	190	6368
29	196	6348
30	201	6291
31	207	6290
32	214	6292
33	220	6268
34	226	6243
35	231	6191
36	236	6155
37	242	6146
38	248	6119
39	256	6150
40	262	6143
41	268	6117
42	274	6115
43	280	6096
44	288	6114
45	299	6208
46	308	6262
47	315	6266
48	322	6258
49	329	6263
50	337	6281
51	344	6273
52	350	6261
53	358	6273
54	364	6261
55	371	6268
56	378	6255
57	384	6237
58	390	6223
59	396	6208
60	402	6195
61	409	6195
62	416	6195
63	423	6194
64	429	6183
65	435	6169
66	443	6171
67	450	6180
68	458	6183
69	463	6161
70	469	6144
71	475	6125
72	480	6104
73	486	6091
74	492	6077
75	498	6057
76	504	6044
77	509	6022
78	515	6006
79	520	5988
80	526	5968
81	531	5954
82	538	5947
83	543	5926
84	548	5904
85	555	5903
86	560	5884
87	566	5868
88	571	5853
89	576	5833
90	582	5817
91	587	5799
92	593	5786
93	598	5769
94	604	5754
95	611	5759
96	618	5754
97	624	5749
98	631	5743
99	638	5745
100	644	5740
101	652	5742
102	661	5763
103	671	5784
104	678	5780
105	685	5778
106	692	5783
107	700	5782
108	707	5780
109	713	5772
110	719	5765
111	725	5756
112	732	5752
113	738	5742
114	745	5733
115	751	5729
116	758	5721
117	765	5718
118	771	5715
119	778	5712
120	785	5703
121	791	5693
122	797	5683
123	804	5685
124	813	5694
125	820	5692
126	826	5677
127	832	5671
128	838	5660
129	843	5644
130	848	5630
131	854	5616
132	859	5604
133	865	5591
134	870	5579
135	876	5565
136	883	5563
137	888	5547
138	894	5540
139	900	5530
140	905	5515
141	911	5504
142	916	5491
143	921	5475
144	926	5465
145	931	5451
146	937	5439
147	943	5429
148	948	5415
149	953	5402
150	958	5389
151	965	5387
152	972	5381
153	979	5382
154	987	5381
155	993	5373
156	998	5363
157	1011	5389
158	1021	5402
159	1029	5406
160	1036	5398
161	1044	5402
162	1051	5401
163	1058	5396
164	1064	5387
165	1071	5382
166	1077	5375
167	1083	5366
168	1090	5361
169	1096	5354
170	1103	5351
171	1111	5349
172	1118	5348
173	1125	5341
174	1131	5333
175	1138	5328
176	1144	5322
177	1150	5314
178	1160	5321
179	1167	5319
180	1174	5312
181	1180	5304
182	1185	5291
183	1190	5279
184	1195	5267
185	1200	5254
186	1206	5247
187	1212	5238
188	1218	5226
189	1224	5220
190	1229	5209
191	1235	5198
192	1241	5190
193	1247	5182
194	1252	5171
195	1258	5161
196	1263	5150
197	1268	5138
198	1273	5127
199	1279	5116
200	1284	5104
201	1289	5094
202	1294	5083
203	1300	5074
204	1306	5067
205	1312	5058
206	1317	5048
207	1325	5048
208	1332	5041
209	1338	5035
210	1344	5026
211	1350	5017
212	1357	5015
213	1367	5022
214	1377	5028
215	1383	5020
216	1390	5017
217	1398	5017
218	1405	5012
219	1411	5005
220	1417	4997
221	1424	4993
222	1433	4994
223	1440	4990
224	1446	4982
225	1453	4979
226	1460	4973
227	1466	4964
228	1472	4958
229	1479	4952
230	1485	4945
231	1491	4937
232	1497	4929
233	1505	4928
234	1512	4924
235	1525	4937
236	1530	4928
237	1536	4920
238	1542	4911
239	1547	4901
240	1553	4891
241	1558	4880
242	1564	4872
243	1570	4865
244	1576	4856
245	1581	4846
246	1588	4842
247	1593	4833
248	1599	4824
249	1605	4816
250	1610	4806
251	1616	4798
252	1622	4789
253	1627	4780
254	1632	4770
255	1637	4760
256	1643	4750
257	1648	4741
258	1654	4733
259	1659	4721
260	1665	4714
261	1671	4707
262	1676	4697
263	1681	4687
264	1686	4678
265	1691	4668
266	1697	4659
267	1702	4649
268	1708	4641
269	1715	4637
270	1720	4627
271	1726	4621
272	1733	4617
273	1739	4609
274	1744	4599
275	1750	4590
